ID,Age,Salary,Join_Date,Weight
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
101,25.0,50000.0,2023.01.01,70.0
102,28.0,60000.0,Yesterday,68.0388
101,26.5,60000.0,2023.01.01,65.0
103,26.5,60000.0,01/01/2023,69.01939999999999
104A,26.5,70000.0,32/13/2023,80.0
